sent,action,ob0,role0,ob1,role1,ob2,role2,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
the grey tower give the red cube to the yellow cone,give,red Cube,theme ,grey Tower,agent ,yellow Cone,recipient ,0.0000,0.8058,0.9150,0.0000,0.0000,0.8013,0.0000,0.0000,0.0000,0.0000,0.7885,1.0000,0.6528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7414,0.7952,0.2779,0.0000,0.0000,0.7962,0.9999,0.0000,0.0000,0.3221,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9962,0.9756,0.9472,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3441,0.4245
the yellow cube give the purple tower to the green sphere,give,yellow Cube,agent ,purple Tower,theme ,green Sphere,recipient ,0.0000,0.7905,0.8017,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,1.0000,0.9885,0.7835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2583,0.7517,0.0000,0.7951,1.0000,0.7951,0.0000,0.0000,0.0000,0.0000,0.3237,0.0000,1.0000,0.0000,0.0000,0.0000,0.9670,0.9958,0.9694,0.0000,0.0687,0.0000,0.0000,0.0000,0.0000,0.3374,0.1000,0.3563
the purple dome spin,spin,red Sphere, ,blue Cone, ,purple Dome,agent ,0.0000,0.5172,0.6979,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.2994,0.2971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2057,0.4593,0.0000,0.2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0815,0.0219,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9767
the red sphere spin,spin,red Sphere,agent ,yellow Cone, ,blue Cylinder, ,0.0000,0.1929,0.6939,0.0000,0.0000,0.4990,0.0000,0.0000,0.0000,0.0000,0.0000,0.1009,0.2997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3410,0.3466,0.0000,0.0000,0.0000,0.0000,0.3376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,0.0193,0.0805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9746,0.1000,0.1000
the red cone hop,hop,purple Cylinder, ,grey Dome, ,red Cone,agent ,0.0000,0.4993,0.5310,0.0000,0.0000,0.8955,0.0000,0.0000,0.0000,0.0000,0.0000,0.7366,0.2989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1025,0.7136,0.0000,0.0000,0.0000,0.0075,0.8029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0201,0.0797,0.9935,0.0000,0.0000,0.8203,0.0000,0.0000,0.7214,0.1000,0.1000,0.1000
the red cube throw the purple dome,throw,purple Dome,theme ,grey Cylinder, ,red Cube,agent ,0.0000,0.9087,0.5208,0.0000,0.0000,0.4511,0.0000,0.0000,0.0000,0.0000,0.2948,0.7658,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9837,0.5335,0.0000,0.9432,0.0000,0.1749,0.0000,0.0000,0.0000,0.3110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9853,0.0218,0.9436,0.6323,0.0000,0.0000,0.6051,0.0000,0.0000,0.1000,0.1202,0.3358
the purple cone throw the grey dome,throw,purple Cone,agent ,grey Dome,theme ,yellow Sphere, ,0.0000,0.4820,0.4216,0.0000,0.0000,0.8115,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.7651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9979,0.0000,0.0000,0.7893,0.0994,0.0000,0.0000,0.0000,0.0000,0.3095,0.0000,0.0000,0.0000,0.0000,0.0000,0.9436,0.9825,0.0195,0.0000,0.6323,0.0000,0.0000,0.7084,0.0000,0.3478,0.1000,0.1000
the green tower spin,spin,blue Dome, ,green Tower,agent ,yellow Cone, ,0.0000,0.1856,0.4987,0.0000,0.0000,0.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2279,0.4803,0.0000,0.0000,0.0000,0.0000,0.2381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.0184,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.9996,0.1000
the yellow cone flip,flip,yellow Cone,agent ,grey Sphere, ,green Cube, ,0.0000,0.8096,0.3266,0.0000,0.0000,0.5084,0.0000,0.0000,0.0000,0.0000,0.1041,0.2999,0.6226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2632,0.4264,0.4420,0.0000,0.4890,0.6052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9857,0.0813,0.0203,0.7855,0.0000,0.0000,0.7047,0.0000,0.0000,0.8487,0.1000,0.1000
the green cone flip,flip,yellow Sphere, ,purple Tower, ,green Cone,agent ,0.0000,0.4975,0.7956,0.0000,0.0000,0.3119,0.0000,0.0000,0.0000,0.0000,0.2990,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2517,0.3478,0.0000,0.4845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0797,0.0197,0.9857,0.0000,0.0000,0.7855,0.0000,0.0000,0.7047,0.1000,0.1000,0.8064
the red sphere give the green dome to the yellow cube,give,yellow Cube,recipient ,red Sphere,agent ,green Dome,theme ,0.0000,0.8021,0.9150,0.0000,0.0000,0.8359,0.0000,0.0000,0.0000,0.0000,0.9885,1.0000,0.9797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7952,0.2228,0.0000,0.0282,0.7952,0.7490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3237,0.0000,0.9642,0.9689,0.9962,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3609,0.3472,0.1000
the green sphere give the yellow cone to the purple tower,give,green Sphere,agent ,purple Tower,recipient ,yellow Cone,theme ,0.0000,0.8018,0.7512,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.9419,1.0000,0.9955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3003,0.9998,0.0000,0.7935,0.8202,0.7952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3221,1.0000,0.0000,0.9782,0.9283,0.9963,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3407,0.3428,0.1000
the blue tower flip,flip,purple Cylinder, ,blue Tower,agent ,green Cone, ,0.0000,0.2941,0.4928,0.0000,0.0000,0.7837,0.0000,0.0000,0.0000,0.0000,1.0000,0.2974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4285,0.0000,0.0362,0.0000,0.0000,0.1272,0.2116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.9857,0.0803,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8486,0.1000
the red sphere hop,hop,blue Cube, ,green Tower, ,red Sphere,agent ,0.0000,0.4958,0.1545,0.0000,0.0000,0.5459,0.0000,0.0000,0.0000,0.0000,0.2976,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0209,0.0783,0.9915,0.0000,0.0000,0.8203,0.0000,0.0000,0.8162,0.1000,0.1000,0.1000
the blue cone spin,spin,green Sphere, ,purple Cube, ,blue Cone,agent ,0.0000,0.5133,0.6957,0.0000,0.0000,0.2090,0.0000,0.0000,0.0000,0.0000,0.2988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1209,0.3731,0.0000,0.1164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.0213,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9843
the yellow cube spin,spin,yellow Cube,agent ,blue Tower, ,grey Sphere, ,0.0000,0.6952,0.1854,0.0000,0.0000,0.4902,0.0000,0.0000,0.0000,0.0000,0.0990,0.2998,0.2997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6194,0.0000,0.0000,0.6143,0.3503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0793,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9693,0.1000,0.1000
the purple cylinder give the blue tower to the yellow sphere,give,yellow Sphere,recipient ,purple Cylinder,agent ,blue Tower,theme ,0.0000,0.8016,0.9150,0.0000,0.0000,0.8052,0.0000,0.0000,0.0000,0.0000,0.9691,0.9285,0.9916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7947,0.3826,0.0000,0.0000,0.7952,0.7413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3221,0.0000,0.9732,0.9550,0.9951,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3417,0.3532,0.1000
the grey cylinder flip,flip,grey Cylinder,agent ,red Sphere, ,purple Cube, ,0.0000,0.7959,0.3103,0.0000,0.0000,0.5104,0.0000,0.0000,0.0000,0.0000,0.1007,0.2999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2924,0.1871,0.5788,0.0000,0.1434,0.6841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9793,0.0818,0.0202,0.7848,0.0000,0.0000,0.7433,0.0000,0.0000,0.8667,0.1000,0.1000
the red dome spin,spin,green Cylinder, ,grey Cone, ,red Dome,agent ,0.0000,0.4989,0.7128,0.0000,0.0000,0.2118,0.0000,0.0000,0.0000,0.0000,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6968,0.4690,0.0000,0.7160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0793,0.0205,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9903
the purple cube roll the grey sphere,roll,yellow Cylinder, ,grey Sphere,theme ,purple Cube,agent ,0.0000,0.7912,0.4098,0.0000,0.0000,0.2901,0.0000,0.0000,0.0000,0.0000,0.6905,0.9350,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4263,0.9921,0.9780,0.0000,0.8451,0.0000,0.9533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,0.9961,0.9153,0.0000,0.3115,0.0000,0.0000,0.0000,0.0000,0.1000,0.8696,0.3486
the yellow cone give the blue dome to the red cube,give,yellow Cone,agent ,blue Dome,theme ,red Cube,recipient ,0.0000,0.8160,0.8013,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,1.0000,0.9929,0.7666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4736,0.7396,0.0000,0.7952,0.9999,0.7942,0.0000,0.0000,0.0000,0.0000,0.3205,0.0000,1.0000,0.0000,0.0000,0.0000,0.9436,0.9948,0.9777,0.0000,0.0687,0.0000,0.0000,0.0000,0.0000,0.3481,0.1000,0.3513
the red cone spin,spin,red Cone,agent ,yellow Tower, ,purple Dome, ,0.0000,0.1996,0.6928,0.0000,0.0000,0.5068,0.0000,0.0000,0.0000,0.0000,0.2996,0.0985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2353,0.2282,0.0272,0.0000,0.0000,0.0344,0.2398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,0.0211,0.0803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9787,0.1000,0.1000
the green cylinder flip,flip,yellow Cone, ,red Dome, ,green Cylinder,agent ,0.0000,0.4957,0.6802,0.0000,0.0000,0.1907,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0805,0.0186,0.9793,0.0000,0.0000,0.7848,0.0000,0.0000,0.7433,0.1000,0.1000,0.8430
the grey cone kick the purple dome to the blue cube,kick,grey Cone,agent ,purple Dome,theme ,blue Cube,recipient ,0.0000,0.4875,0.4000,0.0000,0.0000,0.9125,0.0000,0.0000,0.0000,0.0000,0.4932,0.2992,0.9202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3451,0.9993,0.9951,0.0000,0.9962,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9065,0.9770,0.0211,0.0000,0.6083,0.0000,0.0000,0.5707,0.0000,0.3420,0.1000,0.3457
the grey dome spin,spin,blue Tower, ,yellow Sphere, ,grey Dome,agent ,0.0000,0.5058,0.6932,0.0000,0.0000,0.1989,0.0000,0.0000,0.0000,0.0000,0.0000,0.2988,0.2953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0806,0.0205,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9819
the grey sphere give the blue tower to the red cube,give,grey Sphere,agent ,blue Tower,theme ,red Cube,recipient ,0.0000,0.7716,0.8013,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,1.0000,0.9783,0.7884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1291,0.0944,0.7763,0.0000,0.7952,1.0000,0.7949,0.0000,0.0000,0.0000,0.0000,0.3237,0.0000,1.0000,0.0000,0.0000,0.0000,0.9749,0.9961,0.9546,0.0000,0.0687,0.0000,0.0000,0.0000,0.0000,0.3359,0.1000,0.3445
the grey dome spin,spin,purple Sphere, ,blue Tower, ,grey Dome,agent ,0.0000,0.4979,0.6889,0.0000,0.0000,0.1869,0.0000,0.0000,0.0000,0.0000,0.2994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1631,0.0684,0.0000,0.0000,0.0846,0.1893,0.1731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0809,0.0187,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,1.0000
the yellow dome hop,hop,blue Tower, ,grey Sphere, ,yellow Dome,agent ,0.0000,0.5115,0.4176,0.0000,0.0000,-0.0203,0.0000,0.0000,0.0000,0.0000,0.2985,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1888,0.0000,0.0000,0.0000,0.0000,0.5834,0.4040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0818,0.0204,0.9915,0.0000,0.0000,0.8203,0.0000,0.0000,0.8162,0.1000,0.1000,0.1000
the purple sphere throw the red cube,throw,red Cube,theme ,yellow Cylinder, ,purple Sphere,agent ,0.0000,0.7174,0.5145,0.0000,0.0000,0.4105,0.0000,0.0000,0.0000,0.0000,0.2948,0.7581,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9978,0.0783,0.0000,0.6863,0.0000,0.0000,0.0000,0.0000,0.0000,0.3110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9837,0.0204,0.9344,0.6323,0.0000,0.0000,0.7084,0.0000,0.0000,0.1000,0.1000,0.3552
the grey cube spin,spin,yellow Dome, ,blue Cone, ,grey Cube,agent ,0.0000,0.4988,0.1948,0.0000,0.0000,0.6956,0.0000,0.0000,0.0000,0.0000,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2588,0.0130,0.0000,0.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0799,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9882
the green cylinder spin,spin,purple Dome, ,grey Sphere, ,green Cylinder,agent ,0.0000,0.5040,0.1890,0.0000,0.0000,0.6848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4240,0.0000,0.0000,0.4134,0.3968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0195,0.0813,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,1.0000
the grey cube roll the yellow cone,roll,yellow Cone,theme ,grey Cube,agent ,blue Tower, ,0.0000,0.2679,0.5818,0.0000,0.0000,0.3966,0.0000,0.0000,0.0000,0.0000,0.9441,0.0000,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6358,0.0000,0.0000,0.0000,0.0000,0.3100,0.9776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9952,0.9066,0.0206,0.1640,0.0000,0.0000,0.0000,0.0000,0.0000,0.8964,0.3405,0.1000
the yellow sphere roll the purple tower to the blue cube,roll,blue Cube,recipient ,yellow Sphere,agent ,purple Tower,theme ,0.0000,0.3885,0.8839,0.0000,0.0000,0.4552,0.0000,0.0000,0.0000,0.0000,0.9557,0.9062,0.2988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9807,0.0000,0.9913,0.0000,0.9093,0.4624,0.9185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4203,0.9229,0.9935,0.0000,0.0000,0.2418,0.0000,0.0000,0.0000,0.3352,0.3453,0.9840
the yellow cube flip,flip,red Cone, ,grey Tower, ,yellow Cube,agent ,0.0000,0.5016,0.3383,0.0000,0.0000,0.8341,0.0000,0.0000,0.0000,0.0000,0.2976,0.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8901,0.0695,0.0000,0.7943,0.0378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0194,0.0809,0.9857,0.0000,0.0000,0.7855,0.0000,0.0000,0.7047,0.1000,0.1000,0.8666
the purple dome spin,spin,purple Dome,agent ,yellow Cone, ,grey Tower, ,0.0000,0.7054,0.1968,0.0000,0.0000,0.4914,0.0000,0.0000,0.0000,0.0000,0.1028,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0532,0.0517,0.2081,0.0000,0.0508,0.2096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0803,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9818,0.1000,0.1000
the purple cone roll the blue dome to the red tower,roll,blue Dome,theme ,purple Cone,agent ,red Tower,recipient ,0.0000,0.4818,0.8588,0.0000,0.0000,0.3795,0.0000,0.0000,0.0000,0.0000,0.9202,0.8771,0.7352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9136,0.5851,0.6591,0.0000,0.9954,0.0000,0.9813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9935,0.9081,0.2838,0.4299,0.0000,0.0000,0.4405,0.0000,0.0000,0.8870,0.3422,0.3388
the green cylinder flip,flip,purple Cube, ,yellow Cone, ,green Cylinder,agent ,0.0000,0.5117,0.2472,0.0000,0.0000,0.7225,0.0000,0.0000,0.0000,0.0000,0.2947,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1519,0.3031,0.0000,0.0000,0.2149,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0212,0.0811,0.9793,0.0000,0.0000,0.7848,0.0000,0.0000,0.7433,0.1000,0.1000,0.8359
