sent,action,ob0,role0,ob1,role1,ob2,role2,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38
the grey cube kick the yellow cylinder,kick,white Dome, ,grey Cube,agent ,yellow Cylinder,theme ,0.0000,0.3977,0.6594,0.0000,0.0000,0.5151,0.0000,0.0000,0.0000,0.0000,0.9664,0.1479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9918,0.0000,0.3084,0.0000,0.0000,0.9036,0.6094,0.0000,0.0193,0.9291,0.9745,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.3358,0.1000
the green tower kick the grey dome to the white cone,kick,white Cone,recipient ,green Tower,agent ,grey Dome,theme ,0.0000,0.4137,0.9135,0.0000,0.0000,0.5002,0.0000,0.0000,0.0000,0.0000,0.9476,0.9932,0.2997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9934,0.4823,0.9987,0.0000,0.0000,1.0000,0.9936,0.0000,0.0214,0.9292,0.9744,0.0000,0.0000,0.6083,0.0000,0.0000,0.5320,0.3619,0.3424,0.1000
the white sphere spin,spin,yellow Cylinder, ,white Sphere,agent ,red Cone, ,0.0000,0.7044,0.5007,0.0000,0.0000,0.2052,0.0000,0.0000,0.0000,0.0000,0.0000,0.2990,0.1031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1460,0.0000,0.0000,0.0802,0.0211,0.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,1.0000,0.1000
the white tower flip,flip,grey Sphere, ,blue Cube, ,white Tower,agent ,0.0000,0.4880,0.2559,0.0000,0.0000,0.7453,0.0000,0.0000,0.0000,0.0000,0.0000,0.4285,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1961,0.1704,0.0000,0.0000,0.2787,0.4997,0.0000,0.0191,0.0785,0.9857,0.0000,0.0000,0.7855,0.0000,0.0000,0.7047,0.1000,0.1000,0.8485
the white cone throw the yellow sphere,throw,green Cube, ,white Cone,agent ,yellow Sphere,theme ,0.0000,0.4270,0.8013,0.0000,0.0000,0.4924,0.0000,0.0000,0.0000,0.0000,0.7732,0.2449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7751,0.0966,0.0000,0.0000,0.0000,0.4074,0.9977,0.0000,0.0208,0.9439,0.9828,0.0000,0.0000,0.6323,0.0000,0.0000,0.7084,0.1000,0.3296,0.0000
the white cube give the grey dome to the blue cone,give,grey Dome,theme ,blue Cone,recipient ,white Cube,agent ,0.0000,0.9150,0.8630,0.0000,0.0000,0.8011,0.0000,0.0000,0.0000,0.0000,1.0000,0.7593,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.8268,0.7967,0.0000,0.9999,0.0000,0.4955,0.0000,0.9942,0.9772,0.9395,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3474,0.3304
the white cone hop,hop,white Cone,agent ,grey Tower, ,red Cube, ,0.0000,0.4803,0.0577,0.0000,0.0000,0.4962,0.0000,0.0000,0.0000,0.0000,0.0939,0.2999,0.2984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3833,0.1322,0.0000,0.0000,0.0000,0.0000,0.1273,0.0000,0.9915,0.0798,0.0194,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the red sphere spin,spin,blue Dome, ,red Sphere,agent ,yellow Cube, ,0.0000,0.2005,0.5017,0.0000,0.0000,0.6985,0.0000,0.0000,0.0000,0.0000,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2229,0.4686,0.0000,0.0000,0.0000,0.0000,0.2447,0.0000,0.0206,0.0194,0.0797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,1.0000,0.1000
the red cube kick the blue dome to the white cone,kick,white Cone,recipient ,blue Dome,theme ,red Cube,agent ,0.0000,0.9155,0.3936,0.0000,0.0000,0.4781,0.0000,0.0000,0.0000,0.0000,0.9824,0.9212,0.2989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9837,0.9992,0.0000,0.9844,0.9967,0.2090,0.0000,0.0188,0.9749,0.9227,0.0000,0.6083,0.0000,0.0000,0.5707,0.0000,0.3324,0.1000,0.3370
the yellow cylinder hop,hop,yellow Cylinder,agent ,white Cube, ,red Sphere, ,0.0000,0.2927,0.7642,0.0000,0.0000,0.5007,0.0000,0.0000,0.0000,0.0000,0.2998,0.0938,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2980,0.0406,0.2475,0.0000,0.0000,0.0000,0.4170,0.0000,0.9841,0.0205,0.0796,0.6083,0.0000,0.0000,0.6052,0.0000,0.0000,0.1000,0.1000,0.1000
the red dome spin,spin,grey Cylinder, ,red Dome,agent ,green Tower, ,0.0000,0.2040,0.5060,0.0000,0.0000,0.6981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4489,0.0000,0.4451,0.4513,0.0000,0.0000,0.0199,0.0209,0.0813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.9895,0.1000
the red sphere give the green cone to the yellow tower,give,green Cone,theme ,red Sphere,agent ,yellow Tower,recipient ,0.0000,0.8516,0.9150,0.0000,0.0000,0.8017,0.0000,0.0000,0.0000,0.0000,0.7715,1.0000,0.4725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7797,0.7952,0.0000,0.0000,0.3676,0.7954,1.0000,0.0000,0.9956,0.9543,0.9725,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3512,0.3498
the blue cube flip,flip,blue Cube,agent ,grey Tower, ,red Dome, ,0.0000,0.2653,0.7487,0.0000,0.0000,0.4975,0.0000,0.0000,0.0000,0.0000,0.2997,0.0980,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2657,0.0000,0.0921,0.0613,0.0000,0.0000,0.9857,0.0188,0.0807,0.7855,0.0000,0.0000,0.7047,0.0000,0.0000,0.8487,0.1000,0.1000
the blue dome kick the white cone,kick,green Sphere, ,blue Dome,agent ,white Cone,theme ,0.0000,0.3980,0.6719,0.0000,0.0000,0.5126,0.0000,0.0000,0.0000,0.0000,0.9409,0.1407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9898,0.9879,0.0000,0.0000,0.0000,0.0000,0.6439,0.0000,0.0211,0.9163,0.9745,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.3415,0.1000
the yellow cube spin,spin,white Cylinder, ,yellow Cube,agent ,grey Tower, ,0.0000,0.7110,0.4978,0.0000,0.0000,0.2090,0.0000,0.0000,0.0000,0.0000,0.0000,0.2989,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1239,0.0000,0.0000,0.0786,0.0209,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,1.0000,0.1000
the green cone kick the grey dome,kick,green Cone,agent ,blue Tower, ,grey Dome,theme ,0.0000,0.3962,0.5447,0.0000,0.0000,0.5893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0951,0.9620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1375,0.0000,0.9915,0.0000,0.0000,0.5326,0.6809,0.0000,0.9219,0.0193,0.9753,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.3480,0.1000,0.1000
the grey cylinder kick the red sphere,kick,red Sphere,theme ,grey Cylinder,agent ,yellow Tower, ,0.0000,0.4852,0.9246,0.0000,0.0000,0.4109,0.0000,0.0000,0.0000,0.0000,0.9592,0.5682,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9673,0.0368,0.1626,0.0000,0.1398,0.0000,0.9823,0.0000,0.9741,0.9280,0.2063,0.6083,0.0000,0.0000,0.6052,0.0000,0.0000,0.1000,0.3529,0.1255
the grey cube roll the green dome to the red sphere,roll,green Dome,theme ,grey Cube,agent ,red Sphere,recipient ,0.0000,0.4273,0.8994,0.0000,0.0000,0.3707,0.0000,0.0000,0.0000,0.0000,0.9354,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9256,0.4501,0.0000,0.0000,0.9896,0.0000,0.9906,0.0000,0.9829,0.9231,0.5751,0.3724,0.0000,0.0000,0.0947,0.0000,0.0000,0.9982,0.3412,0.3338
the green tower kick the white cylinder,kick,grey Cube, ,green Tower,agent ,white Cylinder,theme ,0.0000,0.4008,0.4821,0.0000,0.0000,0.6075,0.0000,0.0000,0.0000,0.0000,0.9177,0.0585,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9878,0.0000,0.2635,0.0000,0.0000,0.7116,0.3608,0.0000,0.0205,0.9158,0.9770,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.3520,0.1000
the blue cone kick the green cube,kick,white Cylinder, ,green Cube,theme ,blue Cone,agent ,0.0000,0.9146,0.3888,0.0000,0.0000,0.4609,0.0000,0.0000,0.0000,0.0000,0.7392,0.9443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1702,0.9937,0.0000,0.0000,0.9556,0.1647,0.2155,0.0000,0.0185,0.9731,0.9155,0.0000,0.6083,0.0000,0.0000,0.6052,0.0000,0.1000,0.1000,0.3494
the red cube flip,flip,grey Dome, ,red Cube,agent ,green Sphere, ,0.0000,0.5569,0.4938,0.0000,0.0000,0.0516,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0224,0.0000,0.0000,0.0802,0.9857,0.0185,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8666,0.1000
the red cone throw the green dome to the white tower,throw,red Cone,agent ,white Tower,recipient ,green Dome,theme ,0.0000,0.4331,0.4982,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.3688,0.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4501,0.0000,0.9988,0.0000,0.8180,0.9493,0.7952,0.0000,0.9478,0.0184,0.9952,0.0000,0.0000,0.6323,0.0000,0.0000,0.6039,0.3460,0.3463,0.1000
the red cube roll the yellow cone,roll,green Cylinder, ,red Cube,agent ,yellow Cone,theme ,0.0000,0.4135,0.6874,0.0000,0.0000,0.1995,0.0000,0.0000,0.0000,0.0000,0.9443,1.0000,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9896,0.9190,0.0000,0.0000,0.6595,0.9173,0.7987,0.0000,0.0204,0.9217,0.9961,0.0000,0.0000,0.0783,0.0000,0.0000,0.0000,0.1000,0.3297,1.0000
the red dome spin,spin,red Dome,agent ,white Cube, ,grey Cone, ,0.0000,0.2054,0.6973,0.0000,0.0000,0.5078,0.0000,0.0000,0.0000,0.0000,0.0000,0.1075,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4978,0.5202,0.0000,0.0000,0.0000,0.0000,0.4840,0.0000,0.0201,0.0210,0.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1000,0.1000
the grey cone flip,flip,yellow Cube, ,grey Cone,agent ,red Cylinder, ,0.0000,0.3196,0.4963,0.0000,0.0000,0.8122,0.0000,0.0000,0.0000,0.0000,0.7323,0.2956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6086,0.0258,0.0433,0.0000,0.2313,0.0000,0.4207,0.0000,0.0207,0.9857,0.0785,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8484,0.1000
the yellow cylinder hop,hop,red Sphere, ,grey Tower, ,yellow Cylinder,agent ,0.0000,0.5049,0.6486,0.0000,0.0000,0.1816,0.0000,0.0000,0.0000,0.0000,0.2997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0797,0.0213,0.9841,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.1000,0.1000
the grey cone give the green cylinder to the white tower,give,green Cylinder,theme ,grey Cone,agent ,white Tower,recipient ,0.0000,0.7789,0.9150,0.0000,0.0000,0.8013,0.0000,0.0000,0.0000,0.0000,0.7866,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7653,0.7952,0.0741,0.0000,0.1605,0.7952,1.0000,0.0000,0.9960,0.9718,0.9657,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3363,0.3314
the blue tower hop,hop,red Cube, ,grey Dome, ,blue Tower,agent ,0.0000,0.5040,0.3060,0.0000,0.0000,0.6467,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0243,0.3796,0.0000,0.0000,0.7006,0.8250,0.0000,0.0205,0.0803,0.9915,0.0000,0.0000,0.8203,0.0000,0.0000,0.8162,0.1000,0.1000,0.1000
the white cube kick the red dome,kick,red Dome,theme ,blue Cylinder, ,white Cube,agent ,0.0000,0.7617,0.4981,0.0000,0.0000,0.4056,0.0000,0.0000,0.0000,0.0000,0.0000,0.9547,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7615,0.7993,0.0000,0.9808,0.0812,0.0000,0.0000,0.9744,0.0198,0.9224,0.6083,0.0000,0.0000,0.6052,0.0000,0.0000,0.1000,0.1000,0.3473
the yellow tower flip,flip,red Dome, ,yellow Tower,agent ,white Cylinder, ,0.0000,0.2104,0.4957,0.0000,0.0000,0.6915,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4765,0.0000,0.6722,0.3580,0.0000,0.0000,0.0210,0.9857,0.0781,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8486,0.1000
the white cylinder roll the green tower,roll,white Cylinder,agent ,green Tower,theme ,red Dome, ,0.0000,0.3541,0.3992,0.0000,0.0000,0.7648,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.9497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5116,0.1215,0.7661,0.0000,0.8763,0.9984,0.0000,0.0000,0.9164,0.9955,0.0212,0.0000,0.3754,0.0000,0.0000,0.3242,0.0000,0.3427,0.9716,0.1000
the grey cone hop,hop,green Cube, ,red Dome, ,grey Cone,agent ,0.0000,0.5034,-0.1601,0.0000,0.0000,0.3314,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0489,0.0000,0.0000,0.0000,0.0000,0.0203,0.0716,0.0000,0.0189,0.0817,0.9915,0.0000,0.0000,0.8203,0.0000,0.0000,0.8162,0.1000,0.1000,0.1000
the white sphere kick the red cube,kick,grey Cone, ,white Sphere,agent ,red Cube,theme ,0.0000,0.4043,0.6616,0.0000,0.0000,0.5202,0.0000,0.0000,0.0000,0.0000,0.9364,1.0000,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9988,0.7918,0.0000,0.0000,0.1884,0.0000,0.6167,0.0000,0.0212,0.9220,0.9747,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.3392,0.1000
the yellow sphere roll the white tower,roll,grey Dome, ,white Tower,theme ,yellow Sphere,agent ,0.0000,0.9040,0.4081,0.0000,0.0000,0.4316,0.0000,0.0000,0.0000,0.0000,0.6443,0.9644,0.2515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9830,0.0000,0.0000,0.8846,0.1683,0.3471,0.0000,0.1184,0.9947,0.9143,0.0000,0.3110,0.0000,0.0000,0.3229,0.0000,0.2420,0.9912,0.3496
the blue cone give the green cylinder to the grey sphere,give,green Cylinder,theme ,grey Sphere,recipient ,blue Cone,agent ,0.0000,0.9150,0.7369,0.0000,0.0000,0.8029,0.0000,0.0000,0.0000,0.0000,0.9829,0.7932,0.9272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7951,0.8706,0.7921,0.0000,0.9997,0.4556,0.0000,0.0000,0.9964,0.8661,0.9815,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3581,0.3599
the yellow cone flip,flip,green Sphere, ,yellow Cone,agent ,white Cylinder, ,0.0000,0.2799,0.4961,0.0000,0.0000,0.7623,0.0000,0.0000,0.0000,0.0000,1.0000,0.2957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2840,0.0000,0.0389,0.0000,0.0000,0.1435,0.0586,0.0000,0.0211,0.9857,0.0781,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8486,0.1000
the white cube give the grey cone to the yellow tower,give,white Cube,agent ,yellow Tower,recipient ,grey Cone,theme ,0.0000,0.8003,0.7628,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.9733,1.0000,0.9903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.1902,0.9999,0.0000,0.7942,0.7915,0.7951,0.0000,0.9745,0.9478,0.9963,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3354,0.3496,0.1000
the green cube give the yellow cone to the grey sphere,give,yellow Cone,theme ,green Cube,agent ,grey Sphere,recipient ,0.0000,0.8201,0.9150,0.0000,0.0000,0.8020,0.0000,0.0000,0.0000,0.0000,0.7849,1.0000,0.6104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7391,0.7952,0.1683,0.0000,0.0922,0.7956,1.0000,0.0000,0.9963,0.9713,0.9544,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3568,0.3686
the yellow sphere flip,flip,red Cylinder, ,yellow Sphere,agent ,white Dome, ,0.0000,0.1663,0.4833,0.0000,0.0000,0.6715,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2521,0.0000,0.1199,0.3358,0.0000,0.0000,0.0181,0.9792,0.0786,0.0000,0.7848,0.0000,0.0000,0.7433,0.0000,0.1000,0.8064,0.1000
the white cylinder give the yellow cone to the red tower,give,red Tower,recipient ,white Cylinder,agent ,yellow Cone,theme ,0.0000,0.8032,0.9150,0.0000,0.0000,0.7538,0.0000,0.0000,0.0000,0.0000,0.9955,0.9272,0.9477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9998,0.7935,0.0000,0.0000,0.2896,0.7952,0.8157,0.0000,0.9348,0.9784,0.9962,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3349,0.3534,0.1000
the green cylinder roll the white cube to the red cone,roll,red Cone,recipient ,green Cylinder,agent ,white Cube,theme ,0.0000,0.3714,0.9194,0.0000,0.0000,0.4459,0.0000,0.0000,0.0000,0.0000,0.9743,0.8526,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9545,0.1478,0.9921,0.0000,0.0000,0.8728,0.9381,0.0000,0.4186,0.9230,0.9737,0.0000,0.0000,0.4298,0.0000,0.0000,0.3240,0.3440,0.3533,0.9219
the green tower spin,spin,red Cone, ,blue Cylinder, ,green Tower,agent ,0.0000,0.4882,0.1838,0.0000,0.0000,0.6956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2982,0.0349,0.0000,0.0000,0.0290,0.0000,0.0000,0.0000,0.0186,0.0790,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9773
the green cone hop,hop,green Cone,agent ,red Cylinder, ,grey Tower, ,0.0000,0.2213,0.6035,0.0000,0.0000,0.5049,0.0000,0.0000,0.0000,0.0000,0.0000,0.1074,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0586,0.0000,0.0000,0.0000,0.9915,0.0203,0.0806,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the yellow cube hop,hop,grey Tower, ,yellow Cube,agent ,white Sphere, ,0.0000,0.9293,0.4893,0.0000,0.0000,0.5324,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4291,0.0000,0.0000,0.1794,0.9106,0.0000,0.0798,0.9919,0.0180,0.0000,0.8203,0.0000,0.0000,0.7214,0.0000,0.1408,0.1000,0.1000
the blue tower kick the grey cylinder,kick,grey Cylinder,theme ,blue Tower,agent ,yellow Cone, ,0.0000,0.4921,0.7979,0.0000,0.0000,0.4061,0.0000,0.0000,0.0000,0.0000,0.9419,0.2987,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8190,0.9908,0.1785,0.0000,0.3915,0.0000,0.9681,0.0000,0.9742,0.9292,0.0201,0.6083,0.0000,0.0000,0.6052,0.0000,0.0000,0.1000,0.3476,0.1000
the red cube hop,hop,grey Cone, ,red Cube,agent ,yellow Dome, ,0.0000,0.0709,0.4953,0.0000,0.0000,0.4961,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4818,0.0000,0.7366,0.2275,0.0000,0.0000,0.0188,0.9915,0.0803,0.0000,0.8203,0.0000,0.0000,0.8162,0.0000,0.1000,0.1000,0.1000
the red cylinder throw the white cube,throw,white Cube,theme ,red Cylinder,agent ,blue Tower, ,0.0000,0.5111,0.7224,0.0000,0.0000,0.4166,0.0000,0.0000,0.0000,0.0000,0.7597,0.2933,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9975,0.0000,0.0000,0.0000,0.3882,0.0594,0.6882,0.0000,0.9836,0.9335,0.0216,0.6323,0.0000,0.0000,0.7084,0.0000,0.0000,0.0000,0.3513,0.1000
